ISO3,Country,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Difference from HDI rank (2021)
AFG,Afghanistan,Low,SA,180.0,5.0
AGO,Angola,Medium,SSA,148.0,10.0
ALB,Albania,High,ECA,67.0,28.0
AND,Andorra,Very High,,40.0,
ARE,United Arab Emirates,Very High,AS,26.0,-105.0
ARG,Argentina,Very High,LAC,47.0,26.0
ARM,Armenia,High,ECA,85.0,33.0
ATG,Antigua and Barbuda,High,LAC,71.0,
AUS,Australia,Very High,,5.0,-87.0
AUT,Austria,Very High,,25.0,9.0
AZE,Azerbaijan,High,ECA,91.0,18.0
BDI,Burundi,Low,SSA,187.0,2.0
BEL,Belgium,Very High,,13.0,-17.0
BEN,Benin,Low,SSA,166.0,2.0
BFA,Burkina Faso,Low,SSA,184.0,1.0
BGD,Bangladesh,Medium,SA,129.0,25.0
BGR,Bulgaria,High,,68.0,12.0
BHR,Bahrain,Very High,AS,35.0,-51.0
BHS,Bahamas,Very High,LAC,55.0,-43.0
BIH,Bosnia and Herzegovina,High,ECA,74.0,6.0
BLR,Belarus,Very High,ECA,60.0,32.0
BLZ,Belize,Medium,LAC,123.0,9.0
BOL,Bolivia,Medium,LAC,118.0,11.0
BRA,Brazil,High,LAC,87.0,5.0
BRB,Barbados,High,LAC,70.0,
BRN,Brunei,Very High,EAP,51.0,-109.0
BTN,Bhutan,Medium,SA,127.0,-13.0
BWA,Botswana,Medium,SSA,117.0,0.0
CAF,Central African Republic,Low,SSA,188.0,1.0
CAN,Canada,Very High,,15.0,-46.0
CHE,Switzerland,Very High,,1.0,-7.0
CHL,Chile,Very High,LAC,42.0,27.0
CHN,China,High,EAP,79.0,-14.0
CIV,Ivory Coast,Medium,SSA,159.0,5.0
CMR,Cameroon,Medium,SSA,151.0,9.0
COD,The Democratic Republic of the Congo,Low,SSA,179.0,2.0
COG,Congo,Medium,SSA,153.0,9.0
COL,Colombia,High,LAC,88.0,28.0
COM,Comoros,Medium,SSA,156.0,
CPV,Cabo Verde,Medium,SSA,128.0,
CRI,Costa Rica,Very High,LAC,58.0,26.0
CUB,Cuba,High,LAC,83.0,30.0
CYP,Cyprus,Very High,,29.0,-22.0
CZE,Czechia,Very High,,32.0,6.0
DEU,Germany,Very High,,9.0,4.0
DJI,Djibouti,Low,AS,171.0,-7.0
DMA,Dominica,High,LAC,102.0,
DNK,Denmark,Very High,,6.0,0.0
DOM,Dominican Republic,High,LAC,80.0,24.0
DZA,Algeria,High,AS,91.0,16.0
ECU,Ecuador,High,LAC,95.0,27.0
EGY,Egypt,High,AS,97.0,25.0
ERI,Eritrea,Low,SSA,176.0,4.0
ESP,Spain,Very High,,27.0,24.0
EST,Estonia,Very High,,31.0,-34.0
ETH,Ethiopia,Low,SSA,175.0,6.0
FIN,Finland,Very High,,11.0,-28.0
FJI,Fiji,High,EAP,99.0,
FRA,France,Very High,,28.0,21.0
FSM,Micronesia,Medium,EAP,134.0,
GAB,Gabon,High,SSA,112.0,18.0
GBR,United Kingdom,Very High,,18.0,15.0
GEO,Georgia,Very High,ECA,63.0,34.0
GHA,Ghana,Medium,SSA,133.0,8.0
GIN,Guinea,Low,SSA,182.0,2.0
GMB,Gambia,Low,SSA,174.0,3.0
GNB,Guinea-Bissau,Low,SSA,177.0,
GNQ,Equatorial Guinea,Medium,SSA,145.0,-14.0
GRC,Greece,Very High,,33.0,22.0
GRD,Grenada,High,LAC,68.0,
GTM,Guatemala,Medium,LAC,135.0,7.0
GUY,Guyana,High,LAC,108.0,
HKG,Hong Kong,Very High,,4.0,
HND,Honduras,Medium,LAC,137.0,7.0
HRV,Croatia,Very High,,40.0,23.0
HTI,Haiti,Low,LAC,163.0,5.0
HUN,Hungary,Very High,,46.0,23.0
IDN,Indonesia,High,EAP,114.0,21.0
IND,India,Medium,SA,132.0,6.0
IRL,Ireland,Very High,,8.0,-58.0
