GII Rank (2021),Gender Inequality Index (1990),Gender Inequality Index (1991),Gender Inequality Index (1992),Gender Inequality Index (1993),Gender Inequality Index (1994),Gender Inequality Index (1995),Gender Inequality Index (1996),Gender Inequality Index (1997),Gender Inequality Index (1998),Gender Inequality Index (1999),Gender Inequality Index (2000),Gender Inequality Index (2001),Gender Inequality Index (2002),Gender Inequality Index (2003),Gender Inequality Index (2004),Gender Inequality Index (2005),Gender Inequality Index (2006),Gender Inequality Index (2007),Gender Inequality Index (2008),Gender Inequality Index (2009),Gender Inequality Index (2010),Gender Inequality Index (2011),Gender Inequality Index (2012),Gender Inequality Index (2013),Gender Inequality Index (2014),Gender Inequality Index (2015),Gender Inequality Index (2016),Gender Inequality Index (2017),Gender Inequality Index (2018),Gender Inequality Index (2019),Gender Inequality Index (2020),Gender Inequality Index (2021),"Maternal Mortality Ratio (deaths per 100,000 live births) (1990)","Maternal Mortality Ratio (deaths per 100,000 live births) (1991)","Maternal Mortality Ratio (deaths per 100,000 live births) (1992)","Maternal Mortality Ratio (deaths per 100,000 live births) (1993)","Maternal Mortality Ratio (deaths per 100,000 live births) (1994)","Maternal Mortality Ratio (deaths per 100,000 live births) (1995)","Maternal Mortality Ratio (deaths per 100,000 live births) (1996)","Maternal Mortality Ratio (deaths per 100,000 live births) (1997)","Maternal Mortality Ratio (deaths per 100,000 live births) (1998)","Maternal Mortality Ratio (deaths per 100,000 live births) (1999)","Maternal Mortality Ratio (deaths per 100,000 live births) (2000)","Maternal Mortality Ratio (deaths per 100,000 live births) (2001)","Maternal Mortality Ratio (deaths per 100,000 live births) (2002)","Maternal Mortality Ratio (deaths per 100,000 live births) (2003)","Maternal Mortality Ratio (deaths per 100,000 live births) (2004)","Maternal Mortality Ratio (deaths per 100,000 live births) (2005)","Maternal Mortality Ratio (deaths per 100,000 live births) (2006)","Maternal Mortality Ratio (deaths per 100,000 live births) (2007)","Maternal Mortality Ratio (deaths per 100,000 live births) (2008)","Maternal Mortality Ratio (deaths per 100,000 live births) (2009)","Maternal Mortality Ratio (deaths per 100,000 live births) (2010)","Maternal Mortality Ratio (deaths per 100,000 live births) (2011)","Maternal Mortality Ratio (deaths per 100,000 live births) (2012)","Maternal Mortality Ratio (deaths per 100,000 live births) (2013)","Maternal Mortality Ratio (deaths per 100,000 live births) (2014)","Maternal Mortality Ratio (deaths per 100,000 live births) (2015)","Maternal Mortality Ratio (deaths per 100,000 live births) (2016)","Maternal Mortality Ratio (deaths per 100,000 live births) (2017)","Maternal Mortality Ratio (deaths per 100,000 live births) (2018)","Maternal Mortality Ratio (deaths per 100,000 live births) (2019)","Maternal Mortality Ratio (deaths per 100,000 live births) (2020)","Maternal Mortality Ratio (deaths per 100,000 live births) (2021)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (1990)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (1991)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (1992)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (1993)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (1994)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (1995)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (1996)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (1997)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (1998)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (1999)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (2000)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (2001)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (2002)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (2003)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (2004)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (2005)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (2006)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (2007)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (2008)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (2009)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (2010)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (2011)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (2012)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (2013)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (2014)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (2015)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (2016)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (2017)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (2018)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (2019)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (2020)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (2021)","Labour force participation rate, female (% ages 15 and older) (1990)","Labour force participation rate, female (% ages 15 and older) (1991)","Labour force participation rate, female (% ages 15 and older) (1992)","Labour force participation rate, female (% ages 15 and older) (1993)","Labour force participation rate, female (% ages 15 and older) (1994)","Labour force participation rate, female (% ages 15 and older) (1995)","Labour force participation rate, female (% ages 15 and older) (1996)","Labour force participation rate, female (% ages 15 and older) (1997)","Labour force participation rate, female (% ages 15 and older) (1998)","Labour force participation rate, female (% ages 15 and older) (1999)","Labour force participation rate, female (% ages 15 and older) (2000)","Labour force participation rate, female (% ages 15 and older) (2001)","Labour force participation rate, female (% ages 15 and older) (2002)","Labour force participation rate, female (% ages 15 and older) (2003)","Labour force participation rate, female (% ages 15 and older) (2004)","Labour force participation rate, female (% ages 15 and older) (2005)","Labour force participation rate, female (% ages 15 and older) (2006)","Labour force participation rate, female (% ages 15 and older) (2007)","Labour force participation rate, female (% ages 15 and older) (2008)","Labour force participation rate, female (% ages 15 and older) (2009)","Labour force participation rate, female (% ages 15 and older) (2010)","Labour force participation rate, female (% ages 15 and older) (2011)","Labour force participation rate, female (% ages 15 and older) (2012)","Labour force participation rate, female (% ages 15 and older) (2013)","Labour force participation rate, female (% ages 15 and older) (2014)","Labour force participation rate, female (% ages 15 and older) (2015)","Labour force participation rate, female (% ages 15 and older) (2016)","Labour force participation rate, female (% ages 15 and older) (2017)","Labour force participation rate, female (% ages 15 and older) (2018)","Labour force participation rate, female (% ages 15 and older) (2019)","Labour force participation rate, female (% ages 15 and older) (2020)","Labour force participation rate, female (% ages 15 and older) (2021)","Labour force participation rate, male (% ages 15 and older) (1990)","Labour force participation rate, male (% ages 15 and older) (1991)","Labour force participation rate, male (% ages 15 and older) (1992)","Labour force participation rate, male (% ages 15 and older) (1993)","Labour force participation rate, male (% ages 15 and older) (1994)","Labour force participation rate, male (% ages 15 and older) (1995)","Labour force participation rate, male (% ages 15 and older) (1996)","Labour force participation rate, male (% ages 15 and older) (1997)","Labour force participation rate, male (% ages 15 and older) (1998)","Labour force participation rate, male (% ages 15 and older) (1999)","Labour force participation rate, male (% ages 15 and older) (2000)","Labour force participation rate, male (% ages 15 and older) (2001)","Labour force participation rate, male (% ages 15 and older) (2002)","Labour force participation rate, male (% ages 15 and older) (2003)","Labour force participation rate, male (% ages 15 and older) (2004)","Labour force participation rate, male (% ages 15 and older) (2005)","Labour force participation rate, male (% ages 15 and older) (2006)","Labour force participation rate, male (% ages 15 and older) (2007)","Labour force participation rate, male (% ages 15 and older) (2008)","Labour force participation rate, male (% ages 15 and older) (2009)","Labour force participation rate, male (% ages 15 and older) (2010)","Labour force participation rate, male (% ages 15 and older) (2011)","Labour force participation rate, male (% ages 15 and older) (2012)","Labour force participation rate, male (% ages 15 and older) (2013)","Labour force participation rate, male (% ages 15 and older) (2014)","Labour force participation rate, male (% ages 15 and older) (2015)","Labour force participation rate, male (% ages 15 and older) (2016)","Labour force participation rate, male (% ages 15 and older) (2017)","Labour force participation rate, male (% ages 15 and older) (2018)","Labour force participation rate, male (% ages 15 and older) (2019)","Labour force participation rate, male (% ages 15 and older) (2020)","Labour force participation rate, male (% ages 15 and older) (2021)"
167.0,,,,,,,,,,,,,,,,0.748,0.749,0.752,0.755,0.755,0.753,0.746,0.738,0.728,0.718,0.706,0.692,0.678,0.671,0.665,0.674,0.678,1500.0,1530.0,1520.0,1480.0,1540.0,1490.0,1440.0,1470.0,1410.0,1470.0,1450.0,1390.0,1300.0,1240.0,1180.0,1140.0,1120.0,1090.0,1030.0,993.0,954.0,905.0,858.0,810.0,786.0,701.0,673.0,638.0,638.0,638.0,638.0,638.0,142.96,147.525,147.521,147.896,155.669,156.77,154.932,156.444,154.262,154.416,152.572,150.863,148.141,143.37,138.827,133.071,126.106,125.858,128.171,120.635,120.82,116.454,111.286,106.537,101.454,97.415,94.018,90.342,88.431,86.803,84.296,82.565,15.18,15.214,15.223,15.197,15.178,15.221,15.078,14.954,14.873,14.827,14.795,14.936,15.113,15.298,15.475,15.644,15.455,15.275,15.137,15.076,15.111,15.454,15.879,16.794,17.749,18.746,19.798,20.887,21.228,21.566,16.189,14.848,77.43,77.176,76.871,76.58,76.33,76.102,76.14,76.262,76.415,76.549,76.646,76.589,76.491,76.393,76.332,76.318,76.422,76.567,76.712,76.813,76.842,76.659,76.42,75.588,74.737,73.875,73.045,72.183,72.023,71.863,65.58,66.515
136.0,0.725,0.723,0.721,0.719,0.717,0.714,0.712,0.708,0.683,0.678,0.671,0.665,0.657,0.649,0.643,0.636,0.628,0.621,0.568,0.56,0.551,0.544,0.545,0.54,0.531,0.53,0.529,0.538,0.537,0.537,0.537,0.537,1150.0,1100.0,1130.0,1110.0,1130.0,1060.0,1020.0,985.0,953.0,909.0,827.0,766.0,690.0,628.0,574.0,519.0,473.0,431.0,395.0,359.0,326.0,300.0,281.0,269.0,258.0,251.0,246.0,241.0,241.0,241.0,241.0,241.0,198.803,197.301,196.4,195.398,195.291,193.237,192.841,187.51,182.742,178.605,177.316,176.253,175.341,171.817,170.795,170.951,169.366,168.678,168.701,169.586,164.955,159.295,156.557,153.345,151.093,148.074,146.135,145.235,142.575,141.278,139.825,138.402,75.408,75.381,75.369,75.371,75.387,75.416,75.414,75.428,75.456,75.494,75.539,75.546,75.564,75.59,75.617,75.641,75.625,75.614,75.607,75.603,75.605,74.847,74.834,74.833,74.843,74.864,74.882,74.912,74.955,75.011,73.618,73.968,79.292,79.367,79.405,79.409,79.381,79.321,79.335,79.31,79.252,79.167,79.064,79.055,79.017,78.961,78.901,78.85,78.897,78.93,78.955,78.97,78.972,79.883,79.922,79.93,79.912,79.865,79.827,79.756,79.653,79.519,78.798,79.071
39.0,,,,,,,,,,0.33,0.319,0.282,0.297,0.305,0.301,0.306,0.285,0.286,0.293,0.242,0.246,0.252,0.235,0.225,0.219,0.204,0.191,0.17,0.164,0.156,0.156,0.144,40.0,47.0,49.0,47.0,39.0,38.0,32.0,30.0,27.0,25.0,23.0,23.0,21.0,21.0,18.0,22.0,18.0,19.0,20.0,20.0,21.0,22.0,17.0,16.0,16.0,15.0,16.0,15.0,15.0,15.0,15.0,15.0,14.815,14.784,16.155,17.855,20.157,21.869,21.756,20.149,18.001,16.098,14.792,9.697,13.217,15.231,19.046,18.869,17.503,17.309,18.545,18.987,19.65,20.692,20.909,20.865,20.942,20.276,18.171,16.585,15.58,15.013,14.672,14.517,51.364,54.727,55.608,54.638,53.825,52.576,51.66,52.615,51.658,50.445,49.782,49.087,48.757,48.186,47.625,47.067,46.511,45.958,45.41,45.839,46.727,52.446,48.778,43.598,43.733,46.898,49.676,49.51,51.189,52.723,49.786,50.733,72.51,75.143,75.858,75.222,74.68,73.768,73.023,73.726,72.917,71.884,71.298,70.702,70.424,68.96,67.465,65.93,64.357,62.75,61.114,64.292,63.788,67.483,65.197,61.18,62.984,63.957,64.8,66.44,67.247,67.742,65.631,66.154
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.656,10.878,10.919,9.558,8.761,8.242,8.296,8.717,8.767,10.1,9.281,10.072,10.397,9.066,10.092,10.487,10.597,9.87,11.12,10.246,10.558,9.574,8.414,6.989,6.925,7.402,7.176,6.404,6.08,5.985,6.091,5.887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,0.659,0.647,0.64,0.632,0.635,0.627,0.624,0.616,0.609,0.605,0.605,0.602,0.599,0.597,0.592,0.584,0.311,0.202,0.193,0.185,0.175,0.181,0.171,0.161,0.151,0.126,0.118,0.112,0.103,0.056,0.05,0.049,13.0,12.0,11.0,10.0,10.0,9.0,8.0,8.0,7.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,48.493,41.065,39.971,38.536,41.638,35.147,34.231,29.477,26.185,24.881,25.818,25.759,25.389,25.997,25.047,22.179,19.436,17.771,16.389,15.087,13.72,12.33,11.149,9.876,8.819,7.785,7.035,5.593,4.275,3.825,3.077,3.085,29.083,29.779,30.272,30.944,31.121,31.279,31.883,32.48,33.072,33.659,34.244,34.911,35.586,36.216,36.744,37.176,37.979,38.812,39.739,40.795,41.976,43.301,44.718,46.19,47.659,49.072,50.373,51.947,48.951,48.923,45.703,46.542,91.714,91.894,91.989,92.196,92.168,92.137,92.143,92.114,92.053,91.969,91.865,91.968,92.077,92.054,91.767,91.243,90.443,89.732,89.251,89.056,89.125,89.472,89.976,90.557,91.098,91.509,91.697,91.559,90.621,90.686,87.191,88.003
69.0,0.442,0.439,0.436,0.43,0.429,0.426,0.422,0.419,0.415,0.415,0.413,0.412,0.39,0.385,0.377,0.373,0.369,0.367,0.363,0.369,0.364,0.362,0.36,0.356,0.351,0.345,0.338,0.328,0.315,0.306,0.293,0.287,84.0,82.0,80.0,76.0,75.0,72.0,71.0,71.0,69.0,70.0,66.0,67.0,65.0,65.0,61.0,59.0,57.0,56.0,53.0,56.0,51.0,48.0,47.0,44.0,42.0,41.0,40.0,39.0,39.0,39.0,39.0,39.0,70.928,71.979,72.151,72.502,73.516,72.81,71.39,70.424,69.307,68.268,66.54,64.0,63.078,60.281,62.62,64.877,64.07,66.424,66.149,66.695,67.064,68.264,68.719,69.167,67.791,65.395,61.852,57.783,51.029,46.153,39.866,39.065,45.041,46.331,47.486,48.717,49.576,48.966,49.762,50.973,51.494,50.775,50.509,49.613,47.508,48.801,50.136,49.28,49.916,49.08,48.243,48.964,47.875,48.134,48.234,47.826,47.6,47.679,47.76,47.844,49.316,50.168,46.642,50.01,74.389,74.812,75.107,75.38,75.522,75.197,75.358,75.66,75.746,75.441,75.28,74.897,74.102,74.491,74.871,74.895,74.794,74.266,73.729,73.66,73.601,74.266,73.538,73.135,72.283,71.749,71.213,70.674,70.717,71.223,66.141,71.603
53.0,0.47,0.468,0.487,0.491,0.481,0.469,0.463,0.446,0.438,0.462,0.453,0.444,0.439,0.408,0.394,0.386,0.376,0.331,0.348,0.341,0.346,0.342,0.327,0.305,0.313,0.309,0.306,0.261,0.26,0.239,0.239,0.216,52.0,47.0,56.0,60.0,54.0,54.0,55.0,50.0,50.0,43.0,43.0,42.0,39.0,38.0,36.0,35.0,36.0,32.0,36.0,32.0,32.0,30.0,30.0,26.0,27.0,28.0,26.0,26.0,26.0,26.0,26.0,26.0,73.201,78.736,86.553,85.981,82.148,69.251,62.587,54.18,48.124,41.327,36.644,32.841,32.756,31.669,31.569,29.062,24.607,24.544,25.22,28.266,29.07,28.694,29.083,25.412,27.222,24.66,24.621,21.379,19.533,19.041,18.571,18.511,44.833,44.864,44.904,44.952,45.003,45.053,45.087,45.117,45.141,45.158,45.169,45.162,45.151,45.139,45.132,45.13,45.134,45.145,44.839,45.55,46.934,49.462,49.837,50.207,49.539,48.778,47.034,46.891,43.112,44.757,41.961,42.663,62.743,62.786,62.842,62.909,62.98,63.051,63.099,63.141,63.175,63.198,63.213,63.204,63.188,63.172,63.161,63.159,63.164,63.18,62.899,63.56,67.615,67.583,67.734,67.879,67.158,66.578,66.175,65.681,65.243,65.303,62.425,63.004
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,54.0,55.0,52.0,52.0,51.0,51.0,52.0,50.0,49.0,44.0,44.0,43.0,44.0,41.0,40.0,46.0,48.0,50.0,45.0,44.0,43.0,44.0,43.0,42.0,43.0,43.0,42.0,42.0,42.0,42.0,42.0,82.867,70.292,68.627,63.497,65.405,69.521,70.121,64.099,58.318,57.002,63.429,61.027,56.92,53.757,51.554,49.532,48.18,48.723,54.779,51.622,42.477,40.163,36.808,33.761,33.422,34.834,30.373,30.352,27.548,30.83,32.959,33.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,0.185,0.184,0.184,0.181,0.179,0.176,0.174,0.172,0.169,0.156,0.151,0.15,0.144,0.14,0.136,0.135,0.134,0.134,0.138,0.135,0.136,0.131,0.13,0.123,0.117,0.111,0.101,0.096,0.092,0.08,0.074,0.073,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,21.673,21.491,21.593,20.629,20.312,19.797,19.469,18.99,18.257,17.959,17.357,17.238,16.826,15.998,15.913,15.998,15.815,16.67,17.776,17.408,16.622,15.981,15.709,15.059,13.249,12.322,10.968,10.43,9.983,8.938,8.081,8.096,52.218,51.95,51.909,51.672,52.571,53.576,53.763,53.544,53.599,53.58,54.466,55.002,55.189,55.871,55.645,56.927,57.478,58.028,58.504,58.707,58.565,58.816,58.725,58.644,58.614,59.077,59.305,59.814,60.456,60.929,60.173,61.057,75.544,74.596,74.086,73.511,73.569,73.776,73.543,72.951,72.644,72.172,72.031,71.798,71.724,71.49,71.453,72.035,72.187,72.458,72.563,72.247,72.305,72.116,71.675,71.347,70.906,71.05,70.558,70.647,70.921,71.084,69.997,70.547
12.0,0.202,0.204,0.201,0.195,0.18,0.17,0.163,0.155,0.151,0.147,0.149,0.147,0.145,0.131,0.126,0.121,0.119,0.114,0.121,0.113,0.111,0.103,0.098,0.086,0.083,0.084,0.082,0.072,0.061,0.054,0.052,0.053,8.0,8.0,8.0,8.0,8.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,22.827,24.035,24.239,22.968,19.933,17.743,15.97,14.465,13.868,13.395,14.06,13.989,14.086,13.662,13.758,13.004,12.213,11.46,11.382,10.712,10.434,9.606,9.054,8.462,7.947,7.913,7.637,6.991,5.855,5.499,5.363,5.521,43.006,43.544,44.846,45.309,48.639,49.386,48.818,48.705,49.312,49.48,49.373,49.335,50.589,50.773,49.999,51.297,51.982,52.85,53.383,54.047,54.151,54.501,54.988,55.282,55.298,55.359,55.923,55.911,55.907,55.978,55.621,55.514,69.381,69.573,69.635,69.303,70.565,70.479,69.807,69.078,69.241,69.324,68.834,67.881,68.014,68.204,65.102,66.396,66.729,67.569,67.461,67.316,67.089,66.889,66.915,66.92,66.416,66.398,66.795,66.811,67.106,66.994,66.147,66.283
