Difference from HDI value (%) (1990),Difference from HDI value (%) (1991),Difference from HDI value (%) (1992),Difference from HDI value (%) (1993),Difference from HDI value (%) (1994),Difference from HDI value (%) (1995),Difference from HDI value (%) (1996),Difference from HDI value (%) (1997),Difference from HDI value (%) (1998),Difference from HDI value (%) (1999),Difference from HDI value (%) (2000),Difference from HDI value (%) (2001),Difference from HDI value (%) (2002),Difference from HDI value (%) (2003),Difference from HDI value (%) (2004),Difference from HDI value (%) (2005),Difference from HDI value (%) (2006),Difference from HDI value (%) (2007),Difference from HDI value (%) (2008),Difference from HDI value (%) (2009),Difference from HDI value (%) (2010),Difference from HDI value (%) (2011),Difference from HDI value (%) (2012),Difference from HDI value (%) (2013),Difference from HDI value (%) (2014),Difference from HDI value (%) (2015),Difference from HDI value (%) (2016),Difference from HDI value (%) (2017),Difference from HDI value (%) (2018),Difference from HDI value (%) (2019),Difference from HDI value (%) (2020),Difference from HDI value (%) (2021)
1.098901099,1.075268817,1.045296167,1.01010101,1.02739726,0.967741935,0.940438871,0.92879257,0.925925926,0.903614458,1.194029851,1.18694362,1.104972376,1.329787234,1.020408163,1.0,0.733496333,0.70754717,0.697674419,0.909090909,1.116071429,1.315789474,1.072961373,1.054852321,1.043841336,0.836820084,0.831600832,0.829875519,0.82815735,0.819672131,0.82815735,0.836820084
,,,,,,,,,1.648351648,1.6,1.813471503,1.985111663,1.666666667,2.07852194,2.237136465,2.178649237,2.736842105,3.086419753,3.4,2.745098039,3.041825095,2.957486137,3.079710145,2.664298401,2.577319588,2.013422819,1.842546064,1.680672269,1.512605042,1.525423729,1.535836177
4.327666151,3.656597774,3.25732899,3.079416532,3.044871795,2.996845426,3.255813953,3.271028037,3.500761035,4.035874439,5.022156573,4.824561404,5.079825835,5.890804598,6.285714286,6.610407876,6.545961003,6.438356164,7.336956522,7.827260459,6.631299735,7.049608355,6.940874036,6.624203822,7.575757576,7.044025157,7.769423559,8.104738155,7.196029777,7.283950617,7.17884131,7.16080402
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.68681319,37.34776725,35.8490566,41.84491979,46.09271523,45.80052493,43.80704042,42.94954722,41.33504493,38.37357052,45.85427136,41.625,38.05970149,42.13759214,42.29828851,37.95620438,41.35429262,43.44163658,42.56594724,49.45978391,40.83832335,39.88095238,39.12529551,39.31924883,41.79278231,44.85549133,46.89655172,48.16053512,42.35423542,43.58695652,43.20175439,43.13940724
7.607192254,8.219178082,8.843537415,8.660351827,8.870967742,8.590604027,8.521970706,9.126984127,9.580052493,9.831824062,9.499358151,8.801020408,7.133757962,7.944514502,8.521303258,9.226932668,9.459459459,10.03671971,10.18181818,9.31076179,10.07194245,10.82045184,10.67615658,11.12426036,10.87470449,11.55660377,11.09799292,11.86839013,10.82352941,10.09389671,9.880952381,9.857482185
,2.773497689,2.588996764,1.136363636,2.258064516,2.232854864,2.056962025,2.340093604,2.599388379,2.587519026,2.567975831,2.702702703,3.402366864,3.644314869,3.890489914,3.818953324,4.576976422,5.420054201,6.199460916,5.263157895,4.021447721,4.4,4.370860927,4.210526316,4.45026178,4.438642298,4.967320261,4.817708333,4.280155642,4.11311054,4.227212682,4.216073781
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.09248555,27.79700115,28.07825086,28.63688431,29.43871707,29.138322,31.10859729,30.89064262,33.78226712,32.66219239,32.92410714,31.22222222,34.58980044,36.86534216,36.89427313,35.01646542,35.2297593,35.84699454,34.16757345,34.2019544,34.45287107,34.98920086,35.59139785,33.69214209,34.58646617,34.08360129,34.01069519,34.79188901,34.32518597,33.79383634,32.94614572,33.01787592
16.24242424,18.57659831,18.20359281,17.26190476,17.63313609,17.196702,18.52286049,18.08634772,18.0764774,18.8221709,18.48450057,18.26484018,18.8850967,18.61520999,18.96162528,20.24746907,19.70884658,19.53125,19.71046771,18.48552339,18.51441242,19.33701657,18.43267108,18.45303867,18.26182618,17.8021978,18.1420765,17.68558952,17.23009815,16.9749728,16.31982475,16.37554585
