Inequality-adjusted Human Development Index (2010),Inequality-adjusted Human Development Index (2011),Inequality-adjusted Human Development Index (2012),Inequality-adjusted Human Development Index (2013),Inequality-adjusted Human Development Index (2014),Inequality-adjusted Human Development Index (2015),Inequality-adjusted Human Development Index (2016),Inequality-adjusted Human Development Index (2017),Inequality-adjusted Human Development Index (2018),Inequality-adjusted Human Development Index (2019),Inequality-adjusted Human Development Index (2020),Inequality-adjusted Human Development Index (2021),Coefficient of human inequality (2010),Coefficient of human inequality (2011),Coefficient of human inequality (2012),Coefficient of human inequality (2013),Coefficient of human inequality (2014),Coefficient of human inequality (2015),Coefficient of human inequality (2016),Coefficient of human inequality (2017),Coefficient of human inequality (2018),Coefficient of human inequality (2019),Coefficient of human inequality (2020),Coefficient of human inequality (2021),Overall loss (%) (2010),Overall loss (%) (2011),Overall loss (%) (2012),Overall loss (%) (2013),Overall loss (%) (2014),Overall loss (%) (2015),Overall loss (%) (2016),Overall loss (%) (2017),Overall loss (%) (2018),Overall loss (%) (2019),Overall loss (%) (2020),Overall loss (%) (2021),Inequality in life expectancy (2010),Inequality in life expectancy (2011),Inequality in life expectancy (2012),Inequality in life expectancy (2013),Inequality in life expectancy (2014),Inequality in life expectancy (2015),Inequality in life expectancy (2016),Inequality in life expectancy (2017),Inequality in life expectancy (2018),Inequality in life expectancy (2019),Inequality in life expectancy (2020),Inequality in life expectancy (2021),Inequality in eduation (2010),Inequality in eduation (2011),Inequality in eduation (2012),Inequality in eduation (2013),Inequality in eduation (2014),Inequality in eduation (2015),Inequality in eduation (2016),Inequality in eduation (2017),Inequality in eduation (2018),Inequality in eduation (2019),Inequality in eduation (2020),Inequality in eduation (2021),Inequality in income (2010),Inequality in income (2011),Inequality in income (2012),Inequality in income (2013),Inequality in income (2014),Inequality in income (2015),Inequality in income (2016),Inequality in income (2017),Inequality in income (2018),Inequality in income (2019),Inequality in income (2020),Inequality in income (2021)
0.312,0.315,0.323,,,,,,,,,,29.13924655,29.49569394,29.20871299,,,,,,,,,,30.35714286,30.92105263,30.68669528,,,,,,,,,,33.84173965,32.89670181,32.03575897,31.20422935,30.7356205,30.17712593,29.33408546,28.0697403,27.50606918,27.02128983,26.43369865,26.16536713,42.809,44.82338,44.82338,44.82338,44.82338,45.36517,45.36517,45.36517,45.36517,45.36517,45.36517,45.36517,10.767,10.767,10.767,,,,,,,,,
,,,,,0.395,0.407,0.409,0.41,0.41,0.409,0.407,,,,,,32.04023511,31.7083076,31.42379985,31.16753357,30.92797058,30.65358132,30.41216757,,,,,,32.13058419,31.7114094,31.49078727,31.09243697,31.09243697,30.6779661,30.54607509,39.49775696,38.03870392,36.53272629,35.23054886,34.03232574,33.00392532,32.0761528,31.22262955,30.45383072,29.73514175,28.91197395,28.1877327,,,,,,34.17144,34.17144,34.17144,34.17144,34.17144,34.17144,34.17144,24.454,28.94534,28.94534,28.94534,28.94534,28.94534,28.87733,28.87733,28.87733,28.87733,28.87733,28.87733
0.657,0.669,0.696,0.704,0.711,0.714,0.717,0.72,0.72,0.724,0.709,0.71,12.81314377,12.62466625,10.42977938,10.29833238,10.19806847,10.13333035,10.10048676,10.23328918,10.55449877,10.58933697,10.72704182,10.76768488,12.86472149,12.66318538,10.53984576,10.31847134,10.22727273,10.18867925,10.15037594,10.2244389,10.66997519,10.61728395,10.70528967,10.8040201,8.208471298,7.64303875,7.151945591,6.757604599,6.456812859,6.262598515,6.164067745,6.129034996,6.151076317,6.255590916,6.668705463,6.790634632,11.9,11.9,11.9,11.9,11.9,11.9,11.9,12.33344,12.33344,12.33344,12.33344,12.33344,18.33096,18.33096,12.23739254,12.23739254,12.23739254,12.23739254,12.23739254,12.23739254,13.17898,13.17898,13.17898,13.17898
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.217056751,5.215367794,5.208617687,5.201047897,5.193582058,5.18843174,5.177571297,5.169452667,5.1615839,5.153373718,5.421921253,5.297909737,15.1603022,15.1603022,15.1603022,15.1603022,9.965680746,10.08381514,10.00815435,10.00815435,10.00815435,10.00815435,10.00815435,10.00815435,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.837978363,5.720531464,5.594656467,5.483332634,5.372208118,5.262248039,5.154098988,5.036153316,4.916705608,4.800524712,4.645751476,4.524926186,,,,,,,18.24143743,14.47533507,12.63435527,12.63435527,12.63435527,12.63435527,,,,,,,,,,,,
0.702,0.714,0.721,0.724,0.725,0.731,0.725,0.733,0.732,0.729,0.718,0.72,15.16343292,14.64529483,14.01159307,13.77479703,13.74555362,13.43260217,13.7881569,13.39805823,13.39046178,13.83860578,13.86211385,13.83730084,15.82733813,15.10107015,14.47212337,14.31952663,14.30260047,13.79716981,14.40377804,13.86603995,13.88235294,14.43661972,14.52380952,14.48931116,9.677746773,9.399137497,9.146879196,8.912259102,8.654255867,8.435142517,8.235307693,8.0070467,7.813666344,7.628760338,7.699284554,7.624845505,6.91431,6.8309,6.43056,6.51336,6.19228,6.33131,6.15194,6.20843,5.95181,5.78729,5.78729,5.78729,28.898242,27.705847,26.45734,25.898772,26.390125,25.531354,26.977223,25.978698,26.405909,28.099767,28.099767,28.099767
0.673,0.678,0.684,0.689,0.694,0.697,0.689,0.694,0.697,0.704,0.686,0.688,9.638623667,9.48634286,9.33643829,9.194577329,9.060822281,8.935868375,9.622444595,9.502875453,9.396357343,9.28958349,9.213209913,9.136398122,9.785522788,9.6,9.40397351,9.342105263,9.162303665,9.007832898,9.934640523,9.635416667,9.597924773,9.511568123,9.379128137,9.354413702,10.976511,10.51966858,10.06995487,9.644371986,9.243106842,8.868245125,8.494013786,8.135306358,7.815752029,7.49543047,7.266309738,7.035874367,3.685,3.685,3.685,3.685,3.685,3.685,2.93495,2.93495,2.93495,2.93495,2.93495,2.93495,14.25436,14.25436,14.25436,14.25436,14.25436,14.25436,17.43837,17.43837,17.43837,17.43837,17.43837,17.43837
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.892321587,6.621734619,6.364239216,6.124629498,5.897801399,5.703820705,5.523726463,5.408444405,5.198716164,5.049022675,4.947394848,4.746305943,,,,,,,,,,,,,,,,,,,,,,,,
0.846,0.85,0.854,0.851,0.855,0.857,0.861,0.861,0.865,0.864,0.872,0.876,8.173929686,8.025705552,7.931165814,8.131943525,7.908587538,7.837651988,7.740621191,7.909382245,7.869846953,7.887965016,7.675566646,7.640183183,8.342361863,8.207343413,8.172043011,8.396124865,8.163265306,8.145766345,7.914438503,8.110992529,8.076514346,8.182784272,7.919746568,7.886435331,4.075361729,3.899295568,3.618355751,3.760292053,3.596862078,3.495991945,3.415297508,3.550913572,3.426970959,3.48132515,2.844130039,2.73797965,2.74642733,2.477821088,2.475141691,2.935538521,2.832900537,2.72096402,2.672566064,3.043233164,3.056569899,3.056569899,3.056569899,3.056569899,17.7,17.7,17.7,17.7,17.296,17.296,17.134,17.134,17.126,17.126,17.126,17.126
0.843,0.84,0.836,0.833,0.846,0.849,0.85,0.846,0.856,0.857,0.849,0.851,6.421654234,7.106436823,7.513976963,7.759395127,6.763108616,6.547001419,6.92863792,7.390054951,6.480915127,6.552980083,6.894374013,6.904079795,6.541019956,7.182320442,7.726269316,7.955801105,6.930693069,6.703296703,7.103825137,7.641921397,6.652126499,6.746463547,7.009857612,7.096069869,4.079942703,3.811090469,3.552270889,3.477985382,3.466215849,3.417464256,3.439393759,3.268324852,3.131075382,3.34727025,3.227802038,3.256919384,2.48836,3.66724,3.48986,4.29767,2.65811,2.60756,2.57064,2.9996,2.91745,2.91745,2.52241,2.52241,12.69666,13.84098,15.4998,15.50253,14.165,13.61598,14.77588,15.90224,13.39422,13.39422,14.93291,14.93291
