Expected Years of Schooling (1990),Expected Years of Schooling (1991),Expected Years of Schooling (1992),Expected Years of Schooling (1993),Expected Years of Schooling (1994),Expected Years of Schooling (1995),Expected Years of Schooling (1996),Expected Years of Schooling (1997),Expected Years of Schooling (1998),Expected Years of Schooling (1999),Expected Years of Schooling (2000),Expected Years of Schooling (2001),Expected Years of Schooling (2002),Expected Years of Schooling (2003),Expected Years of Schooling (2004),Expected Years of Schooling (2005),Expected Years of Schooling (2006),Expected Years of Schooling (2007),Expected Years of Schooling (2008),Expected Years of Schooling (2009),Expected Years of Schooling (2010),Expected Years of Schooling (2011),Expected Years of Schooling (2012),Expected Years of Schooling (2013),Expected Years of Schooling (2014),Expected Years of Schooling (2015),Expected Years of Schooling (2016),Expected Years of Schooling (2017),Expected Years of Schooling (2018),Expected Years of Schooling (2019),Expected Years of Schooling (2020),Expected Years of Schooling (2021),Mean Years of Schooling (1990),Mean Years of Schooling (1991),Mean Years of Schooling (1992),Mean Years of Schooling (1993),Mean Years of Schooling (1994),Mean Years of Schooling (1995),Mean Years of Schooling (1996),Mean Years of Schooling (1997),Mean Years of Schooling (1998),Mean Years of Schooling (1999),Mean Years of Schooling (2000),Mean Years of Schooling (2001),Mean Years of Schooling (2002),Mean Years of Schooling (2003),Mean Years of Schooling (2004),Mean Years of Schooling (2005),Mean Years of Schooling (2006),Mean Years of Schooling (2007),Mean Years of Schooling (2008),Mean Years of Schooling (2009),Mean Years of Schooling (2010),Mean Years of Schooling (2011),Mean Years of Schooling (2012),Mean Years of Schooling (2013),Mean Years of Schooling (2014),Mean Years of Schooling (2015),Mean Years of Schooling (2016),Mean Years of Schooling (2017),Mean Years of Schooling (2018),Mean Years of Schooling (2019),Mean Years of Schooling (2020),Mean Years of Schooling (2021)
2.504050016,2.806550026,3.109050035,3.411550045,3.714050055,4.016550064,4.319050074,4.621550083,4.924050093,5.226550102,5.529050112,5.831550121,6.134050131,6.43655014,7.39387989,7.660417938,7.926955986,8.193494034,8.460032082,8.726570129,9.002689838,9.278809547,9.57732296,9.875836372,10.17434978,10.18014979,10.1859498,10.19174981,10.19754982,10.26384398,10.26384398,10.26384398,0.97112539,1.019355778,1.067586167,1.115816555,1.164046944,1.212277332,1.251383053,1.290488773,1.329594493,1.368700214,1.407805934,1.465160991,1.522516047,1.579871104,1.637226161,1.694581217,1.77670323,1.858825243,1.940947256,2.023069268,2.105191281,2.157332242,2.209473202,2.261614163,2.313755123,2.365896084,2.463660385,2.561424686,2.659188987,2.756953288,2.854717589,2.98506999
3.537480116,3.324830055,3.30208993,3.38586994,3.469649951,3.553429961,3.637209972,3.720989982,3.804769993,4.207225839,4.609681686,5.012137532,5.414593379,5.817049225,6.219505072,6.621960918,7.024416765,7.426872611,7.829328458,8.231784304,8.63424015,9.560079575,10.0825,10.6049,11.1273,11.6497,12.17209,12.1721,12.1721,12.1721,12.1721,12.1721,,,,,,,,,,3.3935,3.42472,3.463879585,3.504403463,3.54492734,3.585451218,3.625975095,3.666498973,3.70702285,3.747546728,3.788070605,3.828594483,3.86911836,3.909642238,3.950166115,3.990689993,4.704040408,5.417390823,5.417390823,5.417390823,5.417390823,5.417390823,5.417390823
11.60293007,11.76358032,10.66378021,10.12650013,10.09115028,10.16617012,10.22844982,10.50508022,10.66944027,10.68494034,10.5894804,10.6844101,10.70151997,10.90470982,10.88479042,11.41928005,11.58205032,11.96422958,12.12487984,12.26375961,12.99997044,13.74845028,14.58664989,14.92564011,15.25242043,15.07629967,14.80459976,14.81612968,14.69561958,14.81892014,14.44799995,14.44799995,7.354632085,7.352753507,7.350874929,7.348996351,7.347117774,7.345239196,7.627025866,7.908812536,8.190599206,8.472385876,8.754172545,8.823679924,8.888405664,8.953131403,9.017857143,9.082582882,9.147308622,9.212034362,9.276760101,9.451739947,9.626719793,9.801699638,10.02511024,10.19628076,10.37037387,10.54743948,10.72752833,10.91069206,11.09698316,11.28645502,11.28645502,11.28645502
10.79878,10.79878,10.79878,10.79878,10.79878,10.79878,10.79878,10.79878,10.79878,10.79878,10.79878,10.79878,11.03658,10.94253,10.79199,10.82593,11.18277,11.18277,11.67192,11.67192,11.67192,11.67192,13.52401627,13.13884093,13.495076,13.14028012,13.30023874,13.04647577,13.30023874,13.30023874,13.30023874,13.30023874,,,,,,,,,,,9.806363724,9.891956443,9.978296239,10.06538963,10.70065022,10.08963966,10.41322041,10.4421978,10.47117519,10.50015259,10.52912998,10.55810738,10.58708477,10.61606216,10.64503956,10.57328033,10.55609989,10.55577309,10.5554463,10.55511952,10.55511952,10.55511952
10.47455978,10.8223896,10.65937996,10.68766022,10.80651457,10.92536893,11.04422329,11.16307764,11.281932,11.40078636,11.51964072,11.63849507,11.75734943,11.87620379,11.99505814,12.1139125,12.23276686,12.35162121,12.47047557,12.58932993,12.70818428,12.82703864,12.945893,13.06474735,13.18360171,13.30245607,13.42131042,14.3441,15.01912022,15.69414043,15.71769047,15.71769047,5.759906188,6.058643774,6.35738136,6.656118945,6.954856531,7.253594116,7.499131858,7.7446696,7.990207341,8.235745083,8.481282824,8.583590217,8.685897609,8.788205001,8.890512394,8.992819786,9.160983432,9.329147079,9.497310725,9.665474371,9.833638018,10.00180166,10.16996531,10.33812896,10.5062926,10.67445625,10.8426199,12.05539989,12.48400021,12.69402981,12.69402981,12.69402981
13.28104085,13.23573971,13.19059308,13.14544646,13.10029984,13.30911493,13.51793003,13.72674513,13.93556023,14.99421978,15.53582954,16.16996002,16.27959061,16.17555046,16.22596931,15.96780968,16.15229034,16.17280006,16.34155083,16.67384911,16.96805,17.17383003,17.10737038,17.09185028,17.27013969,17.40954971,17.66885948,17.6541996,17.65617943,17.8748703,17.8748703,17.8748703,8.126089428,8.192950249,8.260361195,8.327772141,8.395183086,8.462594032,8.530004978,8.597415924,8.66482687,8.732237816,8.799648762,8.867059708,9.391139984,9.915220261,10.00709343,10.0989666,10.19083977,10.29859972,10.40635967,10.54321003,10.59963989,10.69979,10.78507042,10.89459991,10.90851021,10.91755009,10.92819023,11.01644516,11.10470009,11.14726927,11.14726927,11.14726927
10.92731277,10.84545994,10.76422024,10.92055035,10.6141901,10.39615488,10.17811966,10.53719044,11.18412018,11.37172985,11.18803978,10.92090988,10.95648988,10.99206988,11.02764988,11.38527966,11.92465019,12.61629009,12.41084957,12.95680046,13.08648968,13.12232971,13.116395,13.11046028,13.10354042,12.96794987,13.00150331,13.03505675,13.06861019,13.10608959,13.11676025,13.11676025,9.781759786,9.851629499,9.921499211,9.991368924,10.06123864,10.13110835,10.20291889,10.27472943,10.34653996,10.4183505,10.49016104,10.48822021,10.55885315,10.62948608,10.70011902,10.77075195,10.84138489,10.91201782,10.98265076,11.05328369,11.12391663,11.19454956,11.28896475,11.38337994,11.47779512,11.57221031,11.37989998,11.18758965,11.23515987,11.2827301,11.33030033,11.33030033
,,,,,,,,,,,,,,,,,15.36161995,15.19822979,15.03483963,14.98256016,14.69311047,14.85750008,14.75945549,14.66205789,14.56530302,14.46918664,14.37370453,14.27885251,14.18462641,14.18462641,14.18462641,,,,,,,,,,,7.026353,8.911,8.962747824,9.014495648,9.066243472,9.117991296,9.169739121,9.221486945,9.273234769,9.324982593,9.2361755,8.99,9.03495,9.08012475,9.125525374,9.171153001,9.217008766,9.263093809,9.293740746,9.293740746,9.293740746,9.293740746
17.5350793,17.50559003,17.47615035,17.44676018,17.41741943,18.93136978,19.49362946,20.30772972,20.46224033,20.61675093,20.77126153,20.92577214,21.08028274,21.23479335,21.38930395,21.54381455,21.69832516,21.85283576,22.00734637,22.16185697,22.31636757,22.47087818,22.62538878,22.77989939,22.93440999,23.08892059,22.74729919,21.95433044,20.5092392,21.57801056,21.05459023,21.05459023,11.22770758,11.249762,11.27181643,11.29387086,11.31592528,11.33797971,11.32795497,11.31793023,11.30790549,11.29788075,11.28785601,11.34399455,11.40013309,11.45627163,11.51241016,11.54751968,11.6446104,11.7118597,11.9376297,11.98707962,12.03444004,12.11583996,12.29574013,12.01885986,12.16699982,12.2456398,12.35210991,12.42234039,12.55362034,12.65668964,12.72681999,12.72681999
13.93255997,14.12351036,14.42138958,14.62442017,14.75572014,14.87022972,14.92243004,15.00123024,15.13568974,15.19770643,15.25972313,15.32173983,15.38375653,15.44577323,15.50778993,15.56980663,15.63182333,15.69384003,15.77005959,15.75800037,15.99388981,16.0272007,16.08506012,15.84848976,15.85573006,15.95141029,16.08119011,16.09206963,16.06674957,16.00795937,16.00795937,16.00795937,10.20033055,10.29016018,10.3807809,10.47140162,10.56202235,10.65264307,10.74326379,10.83388451,10.92450523,11.01512596,11.10574668,11.1963674,11.28698812,11.37760884,11.46822957,11.55885029,11.54505491,11.53125954,11.46809959,11.67436981,11.71487999,11.71115017,11.75162983,11.78754044,12.01449966,12.07699013,12.11466026,12.15911961,12.20790482,12.25669003,12.25669003,12.25669003
